
netlink              |   6.9b / 6.9b   (100% full) | 21.0 / 21 ( 77.2%) | 6.5s/growth (54 over 352s)
catalyst             |   7.1b / 11.5b  (62% full)  | 24.6 / 23 ( 72.2%) | 13.5s/growth (31 over 421s)
rho-construction     |  13.8b / 17.4b  (79% full)  | 17.0 / 17 ( 67.2%) | 7.9s/growth (44 over 347s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.5s/growth (5 over 7s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  48.5m / 62.5m  (77% full)  | 10.4 / 5  (100.0%) | 0.5s/growth (20 over 11s)
nectar-net           |  68.8m / 68.8m  (100% full) | 10.0 / 7  (100.0%) | 0.6s/growth (25 over 15s)
hong-fang-tea        |  33.8m / 75.0m  (45% full)  | 5.2 / 5  (100.0%) | 0.6s/growth (20 over 13s)
harakiri-sushi       |  57.5m / 100.0m (57% full)  | 8.2 / 5  (100.0%) | 0.5s/growth (40 over 20s)
neo-net              |  39.8m / 125.0m (31% full)  | 8.2 / 8  (100.0%) | 0.9s/growth (25 over 23s)
zer0                 | 137.8m / 187.5m (73% full)  | 11.4 / 8  (100.0%) | 1s/growth (40 over 40s)
max-hardware         | 130.4m / 250.0m (52% full)  | 5.4 / 5  (100.0%) | 0.8s/growth (30 over 24s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (20 over 46s)
phantasy             | 600.0m / 600.0m (100% full) | 7.0 / 7  (100.0%) | 0.9s/growth (35 over 34s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.7s/growth (32 over 119s)
silver-helix         |   1.1b / 1.1b   (100% full) | 12.5 / 10 (100.0%) | 2.6s/growth (30 over 79s)
omega-net            |   1.0b / 1.7b   (61% full)  | 14.0 / 11 (100.0%) | 4s/growth (30 over 120s)
johnson-ortho        |   1.1b / 1.8b   (60% full)  | 19.5 / 17 ( 99.7%) | 3.3s/growth (65 over 219s)
the-hub              |   4.9b / 4.9b   (100% full) | 17.5 / 15 (100.0%) | 4s/growth (50 over 202s)
computek             |   1.5b / 5.6b   (26% full)  | 22.7 / 19 ( 88.3%) | 5s/growth (60 over 300s)
summit-uni           |   5.7b / 5.7b   (100% full) | 21.6 / 19 ( 76.5%) | 7.2s/growth (50 over 364s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 87.3%) | 6.1s/growth (41 over 250s)
millenium-fitness    |   4.7m / 6.3b   (0% full)   | 27.4 / 16 ( 62.0%) | 12s/growth (44 over 532s)
aevum-police         |   6.7b / 6.7b   (100% full) | 31.2 / 25 ( 70.3%) | 13.6s/growth (36 over 491s)
netlink              |   3.9b / 6.9b   (56% full)  | 26.0 / 21 ( 76.2%) | 7.5s/growth (54 over 407s)
catalyst             |   6.4b / 11.5b  (56% full)  | 23.8 / 23 ( 77.2%) | 12.3s/growth (31 over 381s)
syscore              | 588.5m / 14.7b  (4% full)   | 79.0 / 26 ( 15.8%) | 26s/growth (65 over 1695s)
rho-construction     |   6.6b / 17.4b  (37% full)  | 17.0 / 17 ( 72.6%) | 7.4s/growth (44 over 325s)
alpha-ent            | 715.5m / 17.9b  (4% full)   | 63.0 / 21 ( 28.2%) | 24.3s/growth (55 over 1338s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.5s/growth (5 over 7s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  29.3m / 62.5m  (46% full)  | 10.6 / 5  (100.0%) | 0.5s/growth (20 over 11s)
nectar-net           |  52.7m / 68.8m  (76% full)  | 10.4 / 7  (100.0%) | 0.6s/growth (25 over 15s)
hong-fang-tea        |  33.1m / 75.0m  (44% full)  | 5.2 / 5  (100.0%) | 0.6s/growth (20 over 13s)
