56 | HACK | Diff: -20 | Finished: 55:30.685 | START: 54:07.218 | ATTEMPTED WAIT UNTIL: 55:09.830 | EXEC: 55:09.831
54 | HACK | Diff: -41 | Finished: 55:30.686 | START: 54:07.168 | ATTEMPTED WAIT UNTIL: 55:09.831 | EXEC: 55:09.832
60 | GROW | Diff: -58 | Finished: 55:30.687 | START: 54:07.257 | ATTEMPTED WAIT UNTIL: 54:23.944 | EXEC: 54:23.950
49 | WEAK | Diff: 0 | Finished: 55:30.688 | START: 54:07.109 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.109
61 | GROW | Diff: -58 | Finished: 55:30.691 | START: 54:07.267 | ATTEMPTED WAIT UNTIL: 54:23.952 | EXEC: 54:23.954
50 | WEAK | Diff: -1 | Finished: 55:30.696 | START: 54:07.118 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.118
47 | WEAK | Diff: 0 | Finished: 55:30.697 | START: 54:07.089 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.089
57 | HACK | Diff: -21 | Finished: 55:30.699 | START: 54:07.232 | ATTEMPTED WAIT UNTIL: 55:09.842 | EXEC: 55:09.846
58 | HACK | Diff: -21 | Finished: 55:30.705 | START: 54:07.240 | ATTEMPTED WAIT UNTIL: 55:09.852 | EXEC: 55:09.852
51 | WEAK | Diff: 0 | Finished: 55:30.707 | START: 54:07.128 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.128
56 | WEAK | Diff: 0 | Finished: 55:30.712 | START: 54:07.218 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.218
62 | GROW | Diff: -57 | Finished: 55:30.713 | START: 54:07.292 | ATTEMPTED WAIT UNTIL: 54:23.971 | EXEC: 54:23.975
59 | HACK | Diff: -21 | Finished: 55:30.714 | START: 54:07.249 | ATTEMPTED WAIT UNTIL: 55:09.861 | EXEC: 55:09.861
52 | WEAK | Diff: 0 | Finished: 55:30.716 | START: 54:07.137 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.137
46 | WEAK | Diff: 0 | Finished: 55:30.723 | START: 54:07.072 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.072
53 | WEAK | Diff: 0 | Finished: 55:30.724 | START: 54:07.145 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.145
60 | HACK | Diff: -21 | Finished: 55:30.725 | START: 54:07.257 | ATTEMPTED WAIT UNTIL: 55:09.870 | EXEC: 55:09.872
57 | WEAK | Diff: 0 | Finished: 55:30.726 | START: 54:07.232 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.232
63 | GROW | Diff: -58 | Finished: 55:30.726 | START: 54:07.302 | ATTEMPTED WAIT UNTIL: 54:23.988 | EXEC: 54:23.989
61 | HACK | Diff: -21 | Finished: 55:30.731 | START: 54:07.267 | ATTEMPTED WAIT UNTIL: 55:09.878 | EXEC: 55:09.878
58 | WEAK | Diff: 1 | Finished: 55:30.735 | START: 54:07.240 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.240
64 | GROW | Diff: -52 | Finished: 55:30.747 | START: 54:07.312 | ATTEMPTED WAIT UNTIL: 54:23.998 | EXEC: 54:24.004
59 | WEAK | Diff: 5 | Finished: 55:30.748 | START: 54:07.249 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.249
54 | WEAK | Diff: 3 | Finished: 55:30.750 | START: 54:07.168 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.168
65 | GROW | Diff: -54 | Finished: 55:30.751 | START: 54:07.320 | ATTEMPTED WAIT UNTIL: 54:24.006 | EXEC: 54:24.010
60 | WEAK | Diff: 1 | Finished: 55:30.752 | START: 54:07.257 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.257
62 | HACK | Diff: -18 | Finished: 55:30.756 | START: 54:07.292 | ATTEMPTED WAIT UNTIL: 55:09.897 | EXEC: 55:09.900
66 | GROW | Diff: -51 | Finished: 55:30.763 | START: 54:07.329 | ATTEMPTED WAIT UNTIL: 54:24.015 | EXEC: 54:24.019
61 | WEAK | Diff: 3 | Finished: 55:30.764 | START: 54:07.267 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.267
67 | GROW | Diff: -48 | Finished: 55:30.772 | START: 54:07.337 | ATTEMPTED WAIT UNTIL: 54:24.024 | EXEC: 54:24.025
45 | WEAK | Diff: 10 | Finished: 55:30.773 | START: 54:07.027 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.027
63 | HACK | Diff: -16 | Finished: 55:30.775 | START: 54:07.302 | ATTEMPTED WAIT UNTIL: 55:09.914 | EXEC: 55:09.917
