50 | HACK | Diff: 7 | Finished: 50:48.477 | START: 50:29.943 | ATTEMPTED WAIT UNTIL: 50:43.808 | EXEC: 50:43.808
50 | WEAK | Diff: 7 | Finished: 50:48.482 | START: 50:29.829 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:29.829
51 | GROW | Diff: 5 | Finished: 50:57.729 | START: 50:39.146 | ATTEMPTED WAIT UNTIL: 50:42.805 | EXEC: 50:42.807
51 | HACK | Diff: -2 | Finished: 50:57.730 | START: 50:39.204 | ATTEMPTED WAIT UNTIL: 50:53.065 | EXEC: 50:53.070
51 | WEAK | Diff: 4 | Finished: 50:57.736 | START: 50:39.086 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:39.086
52 | HACK | Diff: -4 | Finished: 50:58.906 | START: 50:40.388 | ATTEMPTED WAIT UNTIL: 50:54.248 | EXEC: 50:54.248
52 | GROW | Diff: 4 | Finished: 50:58.911 | START: 50:40.328 | ATTEMPTED WAIT UNTIL: 50:43.988 | EXEC: 50:43.990
52 | WEAK | Diff: 1 | Finished: 50:58.916 | START: 50:40.269 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:40.269
53 | HACK | Diff: -3 | Finished: 50:59.084 | START: 50:40.562 | ATTEMPTED WAIT UNTIL: 50:54.424 | EXEC: 50:54.425
53 | GROW | Diff: 5 | Finished: 50:59.089 | START: 50:40.504 | ATTEMPTED WAIT UNTIL: 50:44.164 | EXEC: 50:44.167
53 | WEAK | Diff: 4 | Finished: 50:59.095 | START: 50:40.445 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:40.445
54 | GROW | Diff: 6 | Finished: 51:07.293 | START: 50:48.728 | ATTEMPTED WAIT UNTIL: 50:52.384 | EXEC: 50:52.387
54 | WEAK | Diff: 7 | Finished: 51:07.302 | START: 50:48.670 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:48.670
55 | GROW | Diff: 13 | Finished: 51:07.470 | START: 50:48.900 | ATTEMPTED WAIT UNTIL: 50:52.557 | EXEC: 50:52.557
55 | WEAK | Diff: 4 | Finished: 51:07.471 | START: 50:48.842 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:48.842
56 | GROW | Diff: 8 | Finished: 51:16.713 | START: 50:58.146 | ATTEMPTED WAIT UNTIL: 51:01.803 | EXEC: 51:01.805
56 | WEAK | Diff: 10 | Finished: 51:16.723 | START: 50:58.088 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:58.088
57 | GROW | Diff: 7 | Finished: 51:17.886 | START: 50:59.321 | ATTEMPTED WAIT UNTIL: 51:02.978 | EXEC: 51:02.979
57 | WEAK | Diff: 8 | Finished: 51:17.897 | START: 50:59.264 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:59.264
58 | GROW | Diff: 8 | Finished: 51:18.059 | START: 50:59.493 | ATTEMPTED WAIT UNTIL: 51:03.149 | EXEC: 51:03.151
58 | WEAK | Diff: 6 | Finished: 51:18.065 | START: 50:59.434 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:59.434
59 | GROW | Diff: 9 | Finished: 51:18.221 | START: 50:59.660 | ATTEMPTED WAIT UNTIL: 51:03.312 | EXEC: 51:03.312
59 | WEAK | Diff: 7 | Finished: 51:18.230 | START: 50:59.598 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:59.598
60 | GROW | Diff: -6 | Finished: 51:26.621 | START: 51:08.062 | ATTEMPTED WAIT UNTIL: 51:11.723 | EXEC: 51:11.727
60 | WEAK | Diff: 8 | Finished: 51:26.641 | START: 51:08.008 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:08.008
61 | GROW | Diff: -9 | Finished: 51:26.782 | START: 51:08.230 | ATTEMPTED WAIT UNTIL: 51:11.891 | EXEC: 51:11.891
61 | WEAK | Diff: 2 | Finished: 51:26.803 | START: 51:08.176 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:08.176
62 | GROW | Diff: -8 | Finished: 51:36.000 | START: 51:17.490 | ATTEMPTED WAIT UNTIL: 51:21.137 | EXEC: 51:21.140
